ID;KOMENTAR;CLASS;Sentimen
c1;Semogga kedepan Desa Tempur tambah maju dan TVRI untuk Indonesia tambah jaya,,;Human Interest;positif
c2;Masyaallah... Luar Biasa Desaku Indah Permai ??????;Human Interest;positif
c3;Alhamdulillah, Desa Tempur, kecamatan Keling, kab Jepara, Jawa Tengah Indonesia ??;Human Interest;positif
c4;Terimakasih kepada Tim TVRI. Moga makin jaya tampilkan keindahan Nusantara pada dunia.;Human Interest;positif
c5;Kopi duplak tempur ENAK BANGETTTTT.... Pecinta kopi wajib banget nyoba kopi khas ini!!!;Human Interest;positif
c6;Sukses selalu desa kelahiran ku ??;Human Interest;positif
c7;Josss desa tempur;Human Interest;positif
c8;MasyaAllah hebat mas anjas sukses selalu;Human Interest;positif
c9;Semangaat mas Aldi siiiip ….;Human Interest;positif
c10;Dokumenter kaya dengan seni cinematography begini mestinya viewsnya jutaan..;Human Interest;netral
c11;Semoga dgn tayangan Sinau Hurip bs menggugah hati para pihak terkait utk Sinau Hurip bs membangun rumah singgah buat ODGJ jalanan yg dirawat....sehat & sukses selalu buat Sinau Hurip;Human Interest;positif
c12;TVRI Jateng hebat ,tv yg lain muah dgn berita politik,, TVRI Jateng tayangkan Sinau Hurip bisa jadi pelajaran hidup n menghibur,, sehat sll semuanya,, fans solo;Human Interest;positif
c13;TVRI Jawa Tengah sangat bagus kontennya semoga menjadi contoh para kreator yg lain;Human Interest;positif
c14;Videonya bagus dan sangat inspiratif, sinau hurip selalu bikin kita jadi lebih bersyukur, menghargai diri sendiri dan sesama manusia. Sukses selalu TVRI dan sinau hurip , berkah barokah.;Human Interest;positif
c15;Akhir nya Sinau Hurip tayang di TVRI Sukses selalu;Human Interest;positif
c16;Terima kasih TVRI jateng;Human Interest;positif
c17;Moga ke depan tv nasional merangkul sinau uripp,ini awal di tv nasional,sukses selalu mas andi dan team...;Human Interest;positif
c18;Mantap sukses sllu buat Semua;Human Interest;positif
c19;MANTAAAAP.;Human Interest;positif
c20;Sidoarjo hadir... sukses selalu...;Human Interest;positif
c21;Kejadian ini bukan hal baru ,,,,hukum pemaaf yg jd masalah,,seharusnya kalau yg menyangkut hidup orang banyak dihukum yg berat,,cabut izin usahanya,PENJARaKaN!!!;Berita;negatif
c22;Itu gk ditimbun pak cuma belum didistribusikan ,tunggu barang langka dipasar atau harga naik dulu baru dijual, percuma jg di dirazia dan diekpose wong gk ada sangsi apa apa toh? dan hal begini kan sdh sangat sering terjadi. dgn kerja sama yg baik pasti semua tdk jd masaalah paling rakyat saja yg menjerit.;Berita;negatif
c23;buat apa dilaporkan toh gak diapa2kan paling dikasih sangsi apa trus bubar gak ada efek jeranya;Berita;negatif
c24;MINYAK ITU HARUS DI SITA LALU DI BAGIKAN KEMASYARAKAT DENGAN HARGA YG MURAH.SITA DAN PEMILIKNYA HARUS DI PROSES HUKUM.;Berita;negatif
c25;Ini sumber cuan, penimbun tinggal bilang ke geng sambalado saya bukan nimbun, cuma telat pendistribusian, salaman sambil nempelin amplop coklat..;Berita;negatif
c26;Pantesan aja mhl sekli;Berita;netral
c27;"Jalan raya ngadirojo pacitan parah pak"" ,bertahun tahun cm di tembel""i,,WONOGIRI JATENG";Berita;negatif
c28;Kenapa klu mau mudik lebaran pasti ada2 saja perbaikan jalan kenapa nggak dari dulu jauh2 sebelum lebaran ....aneh;Berita;negatif
c29;Salam kenal ok;Berita;netral
c30;Jawa Tengah Terkini;Berita;netral
c31;Ya Alloh lindungilah warga&permudahkan urusan mereka;Berita;netral
c32;Ben ra kebut2an;Berita;netral
c33;Ada alarm bangun tidur;Berita;netral
c34;Imbasnya Wonogiri barat banyak pabrik sekitar gunung gandul;Berita;negatif
c35;Yg terdampak usaha2 di sepanjang jln nasional..siap2 banyak yg akan gulung tikar;Berita;negatif
c36;Rumah makan jl lama solo - jogja .. mati suri;Berita;negatif
c37;Wkwkw PRESISI BANGET LEPAS DI PAPUA AJA ...;Berita;negatif
c38;gek piyeee to leee leee.. cah koplo tooo;Berita;negatif
c39;Yg ngomong semangat sih kok lemes wkk;Berita;negatif
c40;Ricuh karena undangan tidak boleh masuk;Berita;netral
c41;Jangan sampai terprovokasi. Jangan sampai Ada oknum yang memanfaatkan situasi Ini. Mari sahabat sahabat Untuk Berkhidmat pada NU seutuhnya Siapapun Yg memimpin Mari Kita dukung.;Berita;negatif
c42;semangat tim TVRI Jateng;BUDAYA;positif
c43;sukses slalu buat TVRI Jateng yg slalu live streaming pagelaran Ringgit purwo;BUDAYA;positif
c44;TVRI PEMERSATU BANGSA;BUDAYA;netral
c45;budaya jawa selalu di hati;BUDAYA;netral
c46;Sekarang Nonton Sindend Ngetrend Jam 22.00 WIB Malam Ini;BUDAYA;netral
c47;Khusus chanel kethoprak ini namanya apa ya bos..biar sy bs leluasa lihatnya..bagus..para pemainnya.;BUDAYA;positif
c48;Sy suka dgn para pemainnya...mantap mantap..;BUDAYA;positif
c49;Cerita nya lucu dan menghibur;BUDAYA;positif
c50;Salah satu acara yang kunantikan dari TVRI;BUDAYA;netral
c51;Ketoprak milenial kok belum ada yg baru padahal seru lho bagus saya suka;BUDAYA;negatif
c52;mantap jaya,..;BUDAYA;positif
c53;mantap;BUDAYA;positif
c54;semangat tim TVRI Jateng;BUDAYA;positif
c55;Terima kasih TVRI Jawa Tengah yang sering menampilkan kebudayaan Jawa khusus nya wayang kulit, TVRI JATENG OKE;BUDAYA;positif
c56;hanya TVRi stasiun TV yang tayangannya masih banyak bisa di liat ..tidak tentant gosip, percintaan , dsb;BUDAYA;netral
c57;TV RI rmang keren buat acara untuk masarakat jawa Tengah;BUDAYA;positif
c58;mujamil Jamil asli Purbalingga Banyumas Jawa tengah menyimak dari Jakarta timur sahabatku Indonesia Nusantara jaya sentosa salam santun;BUDAYA;netral
c59;Salam rahayu sonko wong jowo Suriname ???? ????;BUDAYA;netral
c60;salam budaya Jawa untuk seluruh wilayah Jawa semoga sukses selalu makin lestari;BUDAYA;positif
c61;semoga pporo pandemen. Budaya jowo semua sehat2 selalu Ammin;BUDAYA;positif
c62;Mantap;RELIGI;positif
c63;Saya suka tvri,, tapi kenapa ya channel nya di tv sangat sulit untuk di temukan? Dan tolonglah tvri sedikit tingkatkan hiburan seperti dulu,, seperti menayangkan kisah sejarah,, kisah para nabi, kartun jadul dulu,, truss mungkin tambahkan lagi film lawas dulu2 seperti hati yang mendua wkwkw;RELIGI;positif
c64;Alhamdulillah.. Majelis tak'lim Azzahra Lemah gempal semarang bisa ikut tayang dgn Bpk ust Abdhul Rohim semoga ilmu nya bermanfaat dn berkah Aamin.;RELIGI;positif
c65;Masya Allah ..;RELIGI;netral
c66;©©©;RELIGI;
c67;Mohon maaf.. Tahunya kok 20;RELIGI;netral
c68;Itu bukan shotingan bulan ini;RELIGI;negatif
c69;Muslim;RELIGI;netral
c70;terimakasih buat kru TVRI ,atas undangan buat ngaji bareng pak kyai;RELIGI;positif
c71;semoga kita menjadi hamba Allah ug bersyujur;RELIGI;positif
c72;Betul pak ustatt wnt skrng yg ada mkirin dri sndri masa bodo SMA suami.slh sdkit sja mrah2 dwt blnja kurang aja protes pak;RELIGI;negatif
c73;mamaku yg krudung pink dri Banyumasss sukses trs TVRI.;RELIGI;positif
c74;Aamiin;RELIGI;netral
c75;Alhamdulillah Majelis Taklim An-Nisa Muktiharjo Indah Semarang nderek ngaji bareng kyai;RELIGI;positif
c76;Alhamdulillah perdana ikut jadi jamaah ngaji bareng kiyai di TVRI Jawa Tengah;RELIGI;positif
c77;Tabarokallah pak kyai...;RELIGI;netral
c78;Maturnuwun;RELIGI;positif
c79;Eva.... sukses ya...;RELIGI;positif
c80;Ngaji bareng kyai;RELIGI;netral
c81;Alhamdhulillah Mt Zahrotunisa kembang arum Smg Barat ikut ngaji bersama di tvri Smg Jawa Tengah memperingati milad Isro'miqroj,,tabarolalloh ikut senang;RELIGI;positif
c82;Saya sebagai masyarakat mengapresiasi TVRI Jawa Tengah, yang selalu menghadirkan acara khusus untuk kesenian tradisi. Semoga bisa konsisten untuk terus melestarikan acara • Program Campursari Kota Lama. Jangan melihat dari rating penonton,nya tapi lihatlah betapa berkwalitasnya acara ini. Masukan dari saya teruskan berevaluasi dalam isi program ini #ilovetvrijateng;HIBURAN;positif
c83;Dek eka ni cerdas..siapapun lawan mainnya ngumpani banyolan pasti dek eka tanggap.dan ceplas ceplosnya slalu membawa banyolan..cerdas di atas panggung juga pintar dlm olah vokal sesindenan..g semua lulusan ISi seperti dek eka tergantung karakter seseorang..dek eka generasi muda yg luar biasa nguri iri budaya Jawa....dan Eka juga punya fans berat UFC ( uget uget fans club)...;HIBURAN;positif
c84;TVRI semakin Maju dan Banyak Programnya;HIBURAN;positif
c85;Campursari Kota Lama Memang Josss Opo Maneh Ono Nduk Eka Tambah Jos Gandos Balikpapan Kaltim Nderek Nyimak Mbak Eka Keb.;HIBURAN;positif
c86;"Aq nonton Eka UU seneng banget Suarane josss Nanda jg sama Sindene Ki Bayu aji kbh suara dan lirike senggak ane penak"" ";HIBURAN;positif
c87;Top bgt mbak E©;HIBURAN;positif
c88;request bintang tamu selanjutnya Ki Joko Hadiwijoyo ( Ki Joko Edan), kerana di telah membuat harum nama Kab. Semarang;HIBURAN;positif
c89;Josss embak Eka uget uget;HIBURAN;positif
c90;mbak Eka jian josss;HIBURAN;positif
c91;BREBES HADIR. SALAM KANGGO SEDULURE ENYONG MIN. TVRI JATENG SUKSES TERUS!!!!;HIBURAN;positif
c92;boja hadir, dangdut patlikuran tetap jaya;HIBURAN;positif
c93;Keluargabesar?seng penting gayeng ra usah methetheng.;HIBURAN;netral
c94;keluarga besar Setya Bhakti delik Rejo , keluarga Wiryo Atmojo Klaten, Semarang, Jakarta hadir;HIBURAN;netral
c95;good job Listen;HIBURAN;netral
c96;titip salam buat warga delik Rejo yang saat ini sedang nobar tvri Jawa Tengah semakin jaya;HIBURAN;positif
c97;mantappp;HIBURAN;positif
c98;Ra nyono mbak wiwit.. isoh. ngeroool. Top .. Mas Gareng.. bingong. ngulatke goyngane Mbak Wiwit..;HIBURAN;positif
c99;campursari bank jateng sll dinanti dan ditunggu .dan dihati.salam nguri uri kabudayan.jawi campursarinya garap sigrak gayeng sragenan plus tambahin pemain kendang ketipung biar tmbh mnatp ssl.;HIBURAN;netral
c100;lampunya josss;HIBURAN;positif
c101;sx ngundang kojag genk biar tambh gayeng ketemu gareng.;HIBURAN;netral
